method,peak_rpm,overshoot_rpm,steady_mean_rpm,steady_std_rpm,settle_time_s
NONE,1035.67,35.673,500.572,14.5761,3.06
LPF1_shift2,1011.09,11.09,500.689,4.74727,1.06
LPF1_shift3,1005.69,5.68547,500.814,2.70797,1.2
LPF1_shift4,1002.87,2.86846,501.846,3.43855,1.56
MOVAVG8,1008.41,8.40781,500.692,3.22499,1.1
WMA4,1020.24,20.2404,500.651,8.69289,1.16
ADALPF_2to4_h18_40_n32,1008.88,8.87721,500.729,1.76323,1.06
