method,peak_rpm,overshoot_rpm,steady_mean_rpm,steady_std_rpm,settle_time_s
NONE,544.471,44.4708,500.778,14.342,1.56
LPF1_shift2,516.617,16.6171,500.381,5.27884,1.06
LPF1_shift3,509.32,9.32013,500.232,3.25797,1.18
LPF1_shift4,506.003,6.00309,500.273,1.95292,1.48
MOVAVG8,510.204,10.2042,500.266,4.1922,1.1
WMA4,526.901,26.9008,500.575,8.73681,1.04
ADALPF_2to4_h18_40_n32,511.692,11.692,500.284,3.16102,1.06
